,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_name,artist_genres,artist_popularity,track_popularity
100,Windows,0.635,0.501,11.0,-5.747,1.0,0.0489,0.071,0.0856,0.0525,0.449,80.605,track,39CVVcFDM4U7zCQvx7EoBt,spotify:track:39CVVcFDM4U7zCQvx7EoBt,https://api.spotify.com/v1/tracks/39CVVcFDM4U7zCQvx7EoBt,https://api.spotify.com/v1/audio-analysis/39CVVcFDM4U7zCQvx7EoBt,183344,4.0,Leo The Kind,['brockton hip hop'],42.0,38.0
101,Need You,0.528,0.428,3.0,-9.422,1.0,0.0377,0.517,0.00153,0.101,0.126,110.008,track,6jilgLoqm0HI7zbdYaGFqG,spotify:track:6jilgLoqm0HI7zbdYaGFqG,https://api.spotify.com/v1/tracks/6jilgLoqm0HI7zbdYaGFqG,https://api.spotify.com/v1/audio-analysis/6jilgLoqm0HI7zbdYaGFqG,212072,4.0,Kidswaste,"['electropop', 'vapor soul']",50.0,52.0
102,Trails,0.785,0.25,5.0,-13.19,0.0,0.053,0.595,0.56,0.124,0.121,117.935,track,0xcZGl2jYqadKOzkTllni7,spotify:track:0xcZGl2jYqadKOzkTllni7,https://api.spotify.com/v1/tracks/0xcZGl2jYqadKOzkTllni7,https://api.spotify.com/v1/audio-analysis/0xcZGl2jYqadKOzkTllni7,197333,4.0,Meridian,[],40.0,44.0
103,All I Want,0.732,0.637,11.0,-9.274,0.0,0.0415,0.068,0.941,0.211,0.44,118.023,track,325Ey3xcVIXC8JsTOzpmK8,spotify:track:325Ey3xcVIXC8JsTOzpmK8,https://api.spotify.com/v1/tracks/325Ey3xcVIXC8JsTOzpmK8,https://api.spotify.com/v1/audio-analysis/325Ey3xcVIXC8JsTOzpmK8,162712,4.0,Just Because,[],27.0,36.0
104,Know Love - OTR Remix,0.687,0.711,5.0,-7.089,1.0,0.0524,0.258,0.00673,0.115,0.0705,120.018,track,0ePV5nJT0v9wFHjKvt9fNV,spotify:track:0ePV5nJT0v9wFHjKvt9fNV,https://api.spotify.com/v1/tracks/0ePV5nJT0v9wFHjKvt9fNV,https://api.spotify.com/v1/audio-analysis/0ePV5nJT0v9wFHjKvt9fNV,192500,4.0,RKCB,"['electropop', 'indie electropop', 'indie poptimism', 'vapor soul', 'vapor twitch']",57.0,50.0
105,All Love,0.921,0.623,5.0,-9.929,1.0,0.0623,0.282,0.459,0.125,0.163,114.078,track,0OfmDdKAWxUIkSRL0cQ1WC,spotify:track:0OfmDdKAWxUIkSRL0cQ1WC,https://api.spotify.com/v1/tracks/0OfmDdKAWxUIkSRL0cQ1WC,https://api.spotify.com/v1/audio-analysis/0OfmDdKAWxUIkSRL0cQ1WC,206316,4.0,ZenAware,[],40.0,42.0
106,Don't Let Them - Flyboy Remix,0.485,0.787,5.0,-5.16,1.0,0.19,0.0265,0.000116,0.107,0.33,103.004,track,0IS8n5zMLsZxbTPjghaqgW,spotify:track:0IS8n5zMLsZxbTPjghaqgW,https://api.spotify.com/v1/tracks/0IS8n5zMLsZxbTPjghaqgW,https://api.spotify.com/v1/audio-analysis/0IS8n5zMLsZxbTPjghaqgW,228350,4.0,Young Bombs,['pop edm'],60.0,52.0
107,higher,0.624,0.568,1.0,-8.905,1.0,0.0591,0.0392,0.000256,0.129,0.282,91.009,track,5Rddx0DkGh79Lq0TfZ9GiW,spotify:track:5Rddx0DkGh79Lq0TfZ9GiW,https://api.spotify.com/v1/tracks/5Rddx0DkGh79Lq0TfZ9GiW,https://api.spotify.com/v1/audio-analysis/5Rddx0DkGh79Lq0TfZ9GiW,184614,4.0,pluko,"['bass trap', 'edm', 'electronic trap', 'electropop', 'future bass', 'pop edm', 'vapor twitch']",54.0,50.0
108,Jetlag Love,0.85,0.325,9.0,-8.289,1.0,0.154,0.321,0.87,0.138,0.647,90.017,track,62mm6pwxMw7ObGJM6hfJLV,spotify:track:62mm6pwxMw7ObGJM6hfJLV,https://api.spotify.com/v1/tracks/62mm6pwxMw7ObGJM6hfJLV,https://api.spotify.com/v1/audio-analysis/62mm6pwxMw7ObGJM6hfJLV,198000,4.0,Fully Bold,[],29.0,19.0
109,Needs,0.546,0.52,6.0,-10.328,0.0,0.0377,0.0994,0.841,0.108,0.097,147.959,track,1zl8MMA4HayuDW9v19J9Aw,spotify:track:1zl8MMA4HayuDW9v19J9Aw,https://api.spotify.com/v1/tracks/1zl8MMA4HayuDW9v19J9Aw,https://api.spotify.com/v1/audio-analysis/1zl8MMA4HayuDW9v19J9Aw,186487,4.0,Nolai,[],26.0,37.0
