,endTime,artistName,trackName,msPlayed
1953,2020-06-26 18:34,ALMA,Bad News Baby - Acoustic,201031
1954,2020-06-26 18:37,ford.,Hold On,203504
1955,2020-06-26 18:40,Lauv,Love Somebody,142773
1956,2020-06-26 18:44,City of the Sun,Everything Everywhere Matters To Everything,261680
1957,2020-06-26 18:48,Shwayze,Matthew Mcconaughey,243473
1958,2020-06-26 18:51,Borgeous,Nowhere,153600
1959,2020-06-26 18:55,Ben Zaidi,Forget Your Body.,239029
1960,2020-06-26 18:58,DJ Snake,Trust Nobody,211200
1961,2020-06-26 20:33,Cheat Codes,Heaven,207404
1962,2020-06-26 20:34,Maggie Lindemann,Pretty Girl - Cheat Codes X CADE Remix,54639
1963,2020-06-26 20:38,The North Country,Future Humans,190573
1964,2020-06-26 20:40,The North Country,Signs and Wonders,158746
1965,2020-06-26 20:44,The North Country,Freaks,254146
1966,2020-06-26 20:47,The North Country,Don't Quit Your Day Job,168906
1967,2020-06-26 20:48,The North Country,Running Around,45056
1968,2020-06-26 20:51,Superorganism,The Prawn Song,194346
1969,2020-06-26 20:54,The North Country,Don't Quit Your Day Job,168906
1970,2020-06-26 20:57,The North Country,Running Around,151882
1971,2020-06-26 21:00,The North Country,The Flood,221293
1972,2020-06-26 21:03,The North Country,Dune,190106
1973,2020-06-26 21:06,The North Country,Open for Business,135080
1974,2020-06-26 21:09,The North Country,The Flood,221293
1975,2020-06-26 21:14,Bon Iver,Rosyln,289560
1976,2020-06-26 21:21,The North Country,In the Woods,377986
1977,2020-06-26 21:24,The North Country,Chains of Love (On Prisoners of War),226773
1978,2020-06-26 21:28,The North Country,Future Humans,190573
1979,2020-06-26 21:30,The North Country,Signs and Wonders,158746
1980,2020-06-26 21:34,The North Country,Freaks,254146
1981,2020-06-26 21:37,The North Country,Don't Quit Your Day Job,168906
1982,2020-06-26 21:42,The North Country,Running Around,274840
1983,2020-06-26 21:45,The North Country,Dune,190106
1984,2020-06-26 21:47,The North Country,Open for Business,135080
1985,2020-06-26 21:49,The North Country,The Flood,86045
1986,2020-06-26 22:14,Four Tet,Memories,127457
1987,2020-06-27 00:03,Four Tet,Daughter,229598
1988,2020-06-27 00:39,Ehrling,Tonight,161500
1989,2020-06-27 00:42,Armin van Buuren,Hollow,207997
1990,2020-06-27 00:46,ford.,Hold On,203504
1991,2020-06-27 00:50,City of the Sun,Everything Everywhere Matters To Everything,261680
1992,2020-06-27 00:53,ford.,Hold On,192159
1993,2020-06-27 16:22,FantasyPros - Fantasy Football Podcast,First Round Draft Advice + 10 Late-Round Must-Haves (Ep. 505),2045781
1994,2020-06-27 23:58,FantasyPros - Fantasy Football Podcast,First Round Draft Advice + 10 Late-Round Must-Haves (Ep. 505),1922816
1995,2020-06-28 00:41,FantasyPros - Fantasy Football Podcast,10 Boom or Bust Players + Best Dynasty Draft Bargains (Ep. 504),1740266
1996,2020-06-28 01:00,Benjamin Martins,Escaping Time,200346
1997,2020-06-28 01:03,369,Just Look at You,187385
1998,2020-06-28 01:06,Eucalyptic,alpha waves,205127
1999,2020-06-28 01:09,Amaranth Cove,Vague,143000
2000,2020-06-28 01:12,Reina del Mar,Mil Sonidos,192000
2001,2020-06-28 01:28,Light of Sun,Dawning,206419
2002,2020-06-28 03:40,The Six Parts Seven,What You Love You Must Love Now,322160
2003,2020-06-28 03:43,Beau Projet,Curiosity,155820
2004,2020-06-28 03:46,Jakob Ahlbom,Coda,180614
2005,2020-06-28 03:50,Alaskan Tapes,The Times Are Tired,242466
2006,2020-06-28 03:54,Threading Hair,When They Come,262000
2007,2020-06-28 05:04,Airwaves,Event Horizon,164956
2008,2020-06-28 16:09,FantasyPros - Fantasy Football Podcast,15 Scorching Hot Takes (Ep. 503),17905
2009,2020-06-28 16:09,FantasyPros - Fantasy Football Podcast,10 Boom or Bust Players + Best Dynasty Draft Bargains (Ep. 504),869124
2010,2020-06-28 19:07,Benjamin Martins,Escaping Time,200346
2011,2020-06-28 19:10,369,Just Look at You,187385
2012,2020-06-28 19:13,Eucalyptic,alpha waves,205127
2013,2020-06-28 19:16,Amaranth Cove,Vague,143000
2014,2020-06-28 19:19,Reina del Mar,Mil Sonidos,192000
2015,2020-06-28 19:48,Light of Sun,Dawning,14744
2016,2020-06-29 00:53,Terrell Morris,Toi,188181
2017,2020-06-29 00:53,Terrell Morris,Free Problems,45023
2018,2020-06-29 00:57,Robotaki,Dreamcatcher,198545
2019,2020-06-29 00:59,Frank Walker,Piano,166588
2020,2020-06-29 01:03,Henry Green,Another Light (Cyril Hahn Remix),222656
2021,2020-06-29 01:07,Terrell Morris,Pretty Life,256300
2022,2020-06-29 01:10,Frank Walker,Can't Let Go (feat. Harry Hudson),125035
2023,2020-06-29 01:13,Ehrling,Don't Wanna Miss You,202372
2024,2020-06-29 01:17,Juke Ross,Trading Places,223120
2025,2020-06-29 01:21,Alë Jay,Face Turns Blue,253338
2026,2020-06-29 01:24,Chet Porter,Bummed (feat. Alison Wonderland),184800
2027,2020-06-29 01:27,Armin van Buuren,Hollow,207997
2028,2020-06-29 01:32,City of the Sun,Everything Everywhere Matters To Everything,261680
2029,2020-06-29 01:35,ford.,Hold On,203504
2030,2020-06-29 01:38,Ehrling,Tonight,161500
2031,2020-06-29 01:41,Robotaki,Dreamcatcher,198545
2032,2020-06-29 01:44,Frank Walker,Piano,166588
2033,2020-06-29 01:48,Henry Green,Another Light (Cyril Hahn Remix),222656
2034,2020-06-29 01:52,Terrell Morris,Pretty Life,256300
2035,2020-06-29 01:55,Frank Walker,Can't Let Go (feat. Harry Hudson),208739
2036,2020-06-29 01:59,Ehrling,Don't Wanna Miss You,202372
2037,2020-06-29 02:03,Juke Ross,Trading Places,223120
2038,2020-06-29 02:07,Alë Jay,Face Turns Blue,253338
2039,2020-06-29 02:10,Chet Porter,Bummed (feat. Alison Wonderland),184800
2040,2020-06-29 02:13,Armin van Buuren,Hollow,207997
2041,2020-06-29 02:18,City of the Sun,Everything Everywhere Matters To Everything,261680
2042,2020-06-29 02:21,ford.,Hold On,203504
2043,2020-06-29 02:24,Ehrling,Tonight,161500
2044,2020-06-29 02:27,Robotaki,Dreamcatcher,198545
2045,2020-06-29 02:30,Frank Walker,Piano,166588
2046,2020-06-29 02:34,Henry Green,Another Light (Cyril Hahn Remix),222656
2047,2020-06-29 02:38,Terrell Morris,Pretty Life,256300
2048,2020-06-29 02:41,Frank Walker,Can't Let Go (feat. Harry Hudson),208739
2049,2020-06-29 02:46,Ehrling,Don't Wanna Miss You,65085
2050,2020-06-29 03:13,FantasyPros - Fantasy Football Podcast,15 Scorching Hot Takes (Ep. 503),1187904
2051,2020-06-29 15:39,SG Lewis,Chemicals,254871
2052,2020-06-29 15:42,SG Lewis,Throwaway (with Clairo),180000
2053,2020-06-29 16:05,SG Lewis,Flames (feat. Ruel),129675
2054,2020-06-29 16:06,SG Lewis,Flames (feat. Ruel),86946
2055,2020-06-29 16:14,SG Lewis,Hurting (feat. AlunaGeorge),185084
2056,2020-06-29 16:22,Lostboycrow,Orange Juice,227346
2057,2020-06-29 16:25,Buttered,Chasing Feelings,199999
2058,2020-06-29 16:28,Szymon,Feenicks,148373
2059,2020-06-29 16:30,King Monday,Weightless,135445
2060,2020-06-29 16:34,SLUMB,Reset,216880
2061,2020-06-29 16:38,Kaskade,Find Love,264677
2062,2020-06-29 16:42,Khotton Palm,Oak,242666
2063,2020-06-29 16:45,Trinix,Find Me,178965
2064,2020-06-29 16:49,Nick AM,Fatale,242285
2065,2020-06-29 16:53,Orange Dream,Madness,188571
2066,2020-06-29 16:56,TRAILS,Costello Ave,210000
2067,2020-06-29 16:59,Oruam,Basis,156069
2068,2020-06-29 17:01,Will Hearn,Let The Light In,170057
2069,2020-06-29 17:05,COIN,Youuu,235266
2070,2020-06-29 19:22,YesYou,Everybody's Got to Learn Sometime (Tentendo Remix),241846
2071,2020-06-29 21:39,YesYou,Everybody's Got to Learn Sometime (Tentendo Remix),31667
2072,2020-06-29 21:42,Terrell Morris,Toi,188181
2073,2020-06-29 21:49,Terrell Morris,Free Problems,245760
2074,2020-06-29 21:53,Terrell Morris,Me 4 Prez,218571
2075,2020-06-29 21:57,Terrell Morris,Oak (feat. Basecamp),250256
2076,2020-06-29 22:01,Terrell Morris,Make You,230420
2077,2020-06-29 22:02,Terrell Morris,Dip Interlude,71272
2078,2020-06-29 22:05,Terrell Morris,Levvi,194823
2079,2020-06-29 22:09,Terrell Morris,Pretty Life,256300
2080,2020-06-29 22:13,Terrell Morris,Familiar Faces,193846
2081,2020-06-29 22:17,6LACK,PRBLMS,246773
2082,2020-06-29 22:20,6LACK,ATL Freestyle,204128
2083,2020-06-29 22:23,6LACK,Long Nights,157020
2084,2020-06-29 22:26,6LACK,Float,178972
2085,2020-06-29 22:29,6LACK,Know My Rights (feat. Lil Baby),194395
2086,2020-06-29 22:32,6LACK,Elephant In The Room,214039
2087,2020-06-29 22:36,6LACK,Outside,189671
2088,2020-06-29 22:40,Geoffroy,21 Days,257746
2089,2020-06-29 22:42,informal.,Close,142303
2090,2020-06-29 22:46,Geoffroy,Sleeping on My Own,207786
2091,2020-06-29 22:52,Luke Marzec,Feel,354121
2092,2020-06-29 22:55,Conro,The Small Things,215086
2093,2020-06-29 22:59,Niva,Sudden Changes,200533
2094,2020-06-29 23:01,Iawo,Demand,127916
2095,2020-06-30 18:27,FantasyPros - Fantasy Football Podcast,15 Scorching Hot Takes (Ep. 503),838986
2096,2020-06-30 18:28,Mammals,Calm Down,24480
2097,2020-06-30 18:31,ford.,Slack,192000
2098,2020-06-30 18:34,ford.,Lazy Sad,210673
